Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
-1.922842,-27.145254,1.001053,0.757972,-40.489865,0.000000,1
-1.763387,-26.042798,0.887318,14.948724,-30.547161,0.000000,2
-1.702376,-25.066889,0.843831,20.379162,-14.421846,0.000000,1
-1.644099,-23.838985,0.829198,23.011452,-1.013170,0.000000,4
-1.598481,-22.708512,0.440789,18.874657,7.555054,0.000000,1
-1.559582,-21.129901,0.410845,25.538513,12.020094,0.000000,0
-1.536897,-19.931569,0.394656,29.480313,3.582016,0.000000,1
-1.496621,-17.467388,0.555162,33.489700,-7.064649,0.000000,5
-1.461670,-16.494469,0.917574,28.776877,-3.418190,0.000000,4
-1.406596,-15.398304,0.963590,25.212109,0.906539,0.000000,1
-1.232066,-10.569425,0.644920,35.868374,7.261951,0.000000,4
-1.278415,-7.843452,-1.006848,24.487663,8.417151,0.000000,1
-1.323637,-7.018580,-1.204370,24.983461,8.615528,0.000000,4
-1.389884,-6.283979,-1.617588,23.059461,8.760076,0.000000,1
-1.415965,-6.052085,-1.833649,21.577598,8.799087,0.000000,4
-1.587128,-5.103221,-2.650921,16.940092,8.941944,0.000000,1
-1.808006,-3.802625,-2.734608,20.785830,9.038620,0.000000,4
-1.849532,-3.595066,-2.921394,19.325930,8.116710,0.000000,3
-2.063479,-2.790672,-2.804723,12.239026,-6.483241,0.000000,4
-2.134400,-2.546843,-2.499214,12.001524,-12.283847,0.000000,1
-2.297998,-1.749926,-1.790722,15.131004,-22.449316,0.000000,4
16.345112,-23.203164,0.000000,0.000000,0.000000,0.000000,1
16.345112,-23.199684,0.000000,0.639224,0.239673,0.000000,2
16.343700,-23.173323,-0.098948,0.595282,3.730347,0.000000,5
16.332767,-23.200436,-0.505506,-1.888998,9.112802,0.000000,4
15.326149,-25.139758,-8.153850,-16.836215,27.897822,0.000000,1
14.987383,-25.588493,-7.911672,-12.612671,29.978452,0.000000,2
13.825863,-26.125873,-7.083623,1.851819,81.799567,0.000000,1
13.403131,-25.928482,-8.979431,5.474789,99.779363,0.000000,4
12.330046,-25.644273,-19.205068,5.206470,100.000000,0.000000,3
8.728941,-25.204653,-33.297855,4.693990,74.744042,0.000000,0
